nz_territory,2016_population,2016_population_change_number,2016_population_change_percent
Far North District,62000,700,1.2
Whangarei District,87700,1800,2
Kaipara District,21700,600,2.8
Auckland,1614300,44400,2.8
Thames-Coromandel District,28400,600,2.1
Hauraki District,19550,450,2.2
Waikato District,71200,1700,2.4
Matamata-Piako District,34100,500,1.4
Hamilton City,161200,4400,2.8
Waipa District,51600,1200,2.3
Otorohanga District,9980,270,2.7
South Waikato District,23800,300,1.4
Waitomo District,9660,130,1.4
Taupo District,36200,600,1.6
Western Bay of Plenty District,47800,1000,2.2
Tauranga City,128200,3600,2.9
Rotorua District,70500,1300,1.8
Whakatane District,35000,400,1.2
Kawerau District,6800,140,2.1
Opotiki District,8830,10,0.2
Gisborne District,47900,500,1
Wairoa District,8150,-20,-0.3
Hastings District,78600,700,0.9
Napier City,61100,700,1.1
Central Hawke's Bay District,13600,150,1
New Plymouth District,79800,800,1
Stratford District,9300,70,0.8
South Taranaki District,27700,0,0.1
Ruapehu District,12500,50,0.6
Whanganui District,43800,200,0.5
Rangitikei District,14800,100,0.6
Manawatu District,29800,600,2
Palmerston North City,86300,800,0.9
Tararua District,17600,200,1.1
Horowhenua District,31900,500,1.6
Kapiti Coast District,52100,700,1.4
Porirua City,55400,900,1.7
Upper Hutt City,42500,500,1.3
Lower Hutt City,103400,1300,1.3
Wellington City,207900,4100,2
Masterton District,24600,300,1.1
Carterton District,8900,100,1.2
South Wairarapa District,10100,100,0.9
Tasman District,50300,700,1.5
Nelson City,50600,700,1.4
Marlborough District,45500,200,0.4
Kaikoura District,3740,80,2.2
Buller District,10250,-150,-1.2
Grey District,13550,-100,-0.6
Westland District,8760,40,0.5
Hurunui District,12700,200,1.5
Waimakariri District,57800,1500,2.6
Christchurch City,375000,7300,2
Selwyn District,56200,3500,6.7
Ashburton District,33700,500,1.6
Timaru District,46700,500,1
Mackenzie District,4520,80,1.9
Waimate District,7950,80,1
Waitaki District,22100,100,0.6
Central Otago District,19700,500,2.5
Queenstown-Lakes District,34700,2300,7.1
Dunedin City,127000,1200,1
Clutha District,17450,50,0.2
Southland District,30900,300,1
Gore District,12500,0,0.1
Invercargill City,54700,400,0.8
New Zealand,4693000,97300,2.1